计费重(磅),Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8
1,9.36,9.52,9.51,9.36,9.36,9.35,9.36
2,9.36,9.52,9.51,9.36,9.36,9.35,9.36
3,9.36,9.52,9.51,9.36,9.36,9.35,9.36
4,9.36,9.52,9.51,9.36,9.36,9.35,9.72
5,9.36,9.52,9.51,9.36,9.36,9.72,10.29
6,9.36,9.52,9.51,9.36,9.36,9.47,10.05
7,9.36,9.52,9.51,9.36,9.36,9.73,10.42
8,9.36,9.52,9.51,9.36,9.46,10.13,10.88
9,9.36,9.52,9.51,9.36,9.65,10.55,11.45
10,9.36,9.52,9.51,9.48,9.77,11.04,12.21
11,9.36,9.52,9.51,9.36,9.36,9.35,9.36
12,9.36,9.52,9.51,9.36,9.36,9.35,9.36
13,9.36,9.52,9.51,9.36,9.36,9.35,9.36
14,9.36,9.52,9.51,9.36,9.36,9.35,10.05
15,9.36,9.52,9.51,9.36,9.36,9.59,10.47
16,9.36,9.52,9.51,9.36,9.36,9.99,10.97
17,9.36,9.52,9.51,9.36,9.36,10.49,10.98
18,9.36,9.52,9.51,9.36,9.36,10.80,11.85
19,9.36,9.52,9.51,9.36,9.36,11.13,12.40
20,9.36,9.52,9.51,9.36,9.52,11.55,12.86
21,9.36,9.52,9.51,9.36,9.36,10.46,11.69
22,9.36,9.52,9.51,9.36,9.24,10.75,12.08
23,9.36,9.52,9.51,9.36,9.28,11.11,12.69
24,9.36,9.52,9.51,9.36,9.73,11.49,13.42
25,9.36,9.52,9.51,9.36,10.02,12.13,13.83
26,9.36,9.52,9.51,9.36,10.38,12.62,14.41
27,9.36,9.52,9.51,9.36,10.80,12.85,14.50
28,9.36,9.52,9.51,9.25,11.32,13.42,15.20
29,9.36,9.52,9.51,9.25,11.66,13.73,15.60
30,9.36,9.52,9.51,9.39,11.83,13.80,16.10
31,8.90,8.90,8.90,9.56,11.36,13.35,15.65
32,8.90,8.90,8.90,9.56,11.36,13.35,15.82
33,8.90,8.90,8.90,9.56,12.07,13.79,16.25
34,8.90,8.90,8.90,9.70,12.08,14.20,17.02
35,8.90,8.90,8.90,9.94,12.29,14.57,17.14
36,8.90,8.90,8.90,10.18,12.80,15.06,17.81
37,8.90,8.90,8.90,10.41,12.85,15.55,17.99
38,8.90,8.90,8.90,10.66,13.15,15.61,18.33
39,8.90,8.90,9.56,10.98,13.75,16.22,18.70
40,8.90,8.90,9.56,11.00,13.76,16.23,18.70
41,8.90,9.06,9.05,10.77,13.58,15.85,18.39
42,8.90,9.06,9.33,10.83,13.64,16.12,18.49
43,8.90,9.05,9.33,11.38,14.38,16.70,18.99
44,8.90,9.05,9.56,11.57,14.47,17.22,19.18
45,8.90,9.06,9.57,11.58,14.47,17.56,19.32
