服务商,仓点,服务类型,计费单位,单价(USD),备注
Smart供应链,休斯顿萨凡纳,仓储费,CBM/天,0.60,61-90自然日；不足1CBM按1CBM计
Smart供应链,休斯顿萨凡纳,仓储费,CBM/天,0.70,91-120自然日
Smart供应链,休斯顿萨凡纳,仓储费,CBM/天,1.00,121-180自然日
Smart供应链,休斯顿萨凡纳,仓储费,CBM/天,1.20,181-360自然日
Smart供应链,休斯顿萨凡纳,仓储费,CBM/天,1.80,361自然日+
Smart供应链,新泽西芝加哥,仓储费,CBM/天,0.80,61-90自然日；不足1CBM按1CBM计
Smart供应链,新泽西芝加哥,仓储费,CBM/天,1.00,91-120自然日
Smart供应链,新泽西芝加哥,仓储费,CBM/天,1.20,121-180自然日
Smart供应链,新泽西芝加哥,仓储费,CBM/天,1.60,181-360自然日
Smart供应链,新泽西芝加哥,仓储费,CBM/天,2.00,361自然日+
Smart供应链,洛杉矶,仓储费,CBM/天,0.60,31-60自然日；不足1CBM按1CBM计
Smart供应链,洛杉矶,仓储费,CBM/天,0.80,61-90自然日
Smart供应链,洛杉矶,仓储费,CBM/天,1.00,91-120自然日
Smart供应链,洛杉矶,仓储费,CBM/天,1.20,121-180自然日
Smart供应链,洛杉矶,仓储费,CBM/天,1.60,181-360自然日
Smart供应链,洛杉矶,仓储费,CBM/天,2.00,361自然日+
