服务商,仓点,服务类型,计费单位,Smart头程价格,自发头程价格,备注
Smart供应链,美国全仓,整柜卸货费,柜,350,400,"20GP；LIVE UNLOAD加收$200/柜；未预约/未提前5个工作日预约/送仓延误等加收$200/票"
Smart供应链,美国全仓,整柜卸货费,柜,380,380,40GP/HQ
Smart供应链,美国全仓,整柜卸货费,柜,450,600,45HQ
Smart供应链,美国全仓,超SKU分拣费,SKU,15,,11SKU+（1-10SKU免费）
Smart供应链,美国全仓,超箱费,箱,0.5,,单票超1000箱部分
Smart供应链,美国全仓,超重费,箱,0.5,1.0,单个纸箱重量>30kg
Smart供应链,美国全仓,散货卸货费-标准托盘,托,12,12,非混托
Smart供应链,美国全仓,散货卸货费-快递包裹,箱,2.0,2.0,按最小入库单位收取
Smart供应链,美国全仓,散货卸货费-混托分拣,箱,0.5,0.5,混托加收分拣费
Smart供应链,美国全仓,散货卸货费-混托清点,件,0.5,0.5,一箱多件混装需清点
Smart供应链,美国全仓,理货费,小时/人,35,,来货SKU复杂按理货工时收取
Smart供应链,美国全仓,TOC下架出库费,件,0.80,1.60,"0LB-4.4LB（含）；计费重为实重与体积重取大；一票多件加收$1/item订单多品处理费"
Smart供应链,美国全仓,TOC下架出库费,件,0.80,1.60,4.41LB-10LB（含）
Smart供应链,美国全仓,TOC下架出库费,件,1.20,2.20,10.01LB-22LB（含）
Smart供应链,美国全仓,TOC下架出库费,件,1.60,2.60,22.01LB-50LB（含）
Smart供应链,美国全仓,TOC下架出库费,件,2.50,3.50,50.01LB-70LB（含）
Smart供应链,美国全仓,TOC下架出库费,件,2.70,4.70,70.01LB-100LB（含）
Smart供应链,美国全仓,TOC下架出库费,件,5.00,7.00,100.01LB-150LB（含）
Smart供应链,美国全仓,TOC下架出库费,件,7.50,9.50,150.01LB+
Smart供应链,美国全仓,订单优先处理附加费,件,1.00,,VC订单加急出库
Smart供应链,美国全仓,订单优先处理附加费,件,2.00,,SFP/DSV订单（prime订单加收$2）
Smart供应链,美国全仓,打托费,个,20,,标准托盘（含人工/托盘物料/缠膜）
Smart供应链,美国全仓,打托费,个,40,,非标准托盘
Smart供应链,美国全仓,出库费,托,10,,非Smart卡车自提；单托>1000LBS收$20；含贴运单标签
Smart供应链,美国全仓,滞托费,托/天,5,,备货完成超7天未提第8天起收
Smart供应链,美国全仓,贴标费,张,0.4,,直接贴标（外箱/运单/托盘/超重标签）
Smart供应链,美国全仓,贴标费,张,0.8,,覆盖贴标
